"";"ENQUÊTE.2017";"ENQUÊTE.2018";"ENQUÊTE.2019";"ENQUÊTE.2020";"LABELLISÉS.ECOCERT.EN.CUISINE";"ADRESSE";"CODE.POSTAL";"COMMUNE";"REGION";"TYPE.ETABLISSEMENT.(Cuisine.centrale.d'une.collectivité,.écoles,.collèges,.lycées,.Ehpad,.etc.)";"COLLECTIVITÉ.TERRITORIALE.(Oui/Non)";"TAILLE.COLLECTIVITÉS.(en.nombre.de.repas/jour)";"MODE.GESTION.RESTAURATION.COLLECTIVE.(Gestion.directe,.concédée,.mixte.ou.les.deux)";"MODE.PRODUCTION.RESTAURATION.COLLECTIVE.(Cuisine.centrale,.sur.place.ou.les.deux)";"NBR.ÉTABLISSEMENTS";"NBR.REPAS/JOUR";"lat";"long"
"BEGLES";1;1;1;1;"Non";"77 RUE CALIXTE CAMELLE";"33130";"BEGLES";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"17";"2310";44,7974;-0,5519
"BRIANCON";1;1;1;1;"Oui";"Affaires Scolaires - 9 avenue René Froger";"5100";"BRIANCON";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"13";"560";44,8976;6,6421
"CD DROME";1;1;1;1;"Oui";"26 AVENUE DU PRESIDENT HERRIOT";"26026";"VALENCE";"AUVERGNE-RHONE-ALPES";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"30";"13700";45,8852;0,3178
"CD ISERE";1;1;1;0;"Oui";"NC";"38000";NA;"NC";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"LES DEUX";"NC";"NC";45,1825;5,7301
"CD PYRENEES ATLANTIQUES";1;1;1;1;"Oui";"Hotel du Département";"64058";"PAU";"NOUVELLE AQUITAINE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"75";"14901";43,3197;-0,3462
"CHATEAUNEUF DE GRASSE";1;1;1;1;"Non";"4 place G. Clémenceau";"6740";"Châteauneuf";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DEL";"SUR PLACE";"4";"500";43,6676;6,9799
"Collège du Bas Chablais";1;1;1;0;"Non";"NC";"NC";"NC";"NC";"Collèges";"Non";"NC";"NC";"NC";"NC";"NC";NA;NA
"COLLIAS";1;1;1;0;"Non";"52 route d'Uzès";"30210";"Collias";"OCCITANIE";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";43,9585;4,4728
"CUSSAC FORT MEDOC";1;1;1;1;"Oui";"34 avenue du Haut Médoc";"33460";"CUSSAC FORT MEDOC";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"NC";"DEL";"SUR PLACE";"2";"210";45,0756;-0,709
"DIJON";1;1;1;1;"Non";"CS 73310";"21033";"DIJON";"BOURGOGNE-FRANCHE-COMTE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"87";"9575";47,3238;5,0377
"DOLUS D'OLERON";1;1;1;0;"Oui";"Rue des Ecoles";"17550";"DOLUS d'OLERON";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"NC";"DIR";"LES DEUX";"NC";"NC";45,9183;-1,2568
"Ehpad de Mens et Cors";1;1;1;1;"Oui";"rue des aires";"38710";"Mens";"AUVERGNE-RHONE-ALPES";"Ehpad";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"290";44,8067;5,7391
"EPINAY";1;1;1;1;"Non";"11 rue Jean Baptiste CLEMENT";"93800";"Epinay-sur-seine";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"35";"3620";48,9538;2,3194
"GRANDE SYNTHE";1;0;0;1;"Non";"NC";"NC";"NC";"NC";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"NC";"NC";"NC";"NC";NA;NA
"GRENOBLE";1;1;1;1;"Non";"57 Rue Général Mangin";"38100";"Grenoble";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"DIR";"CENTRALE";"95";"12000";45,1825;5,7301
"LA COURONNE";1;1;1;1;"Non";"3 bis allée des sports";"16400";"La Couronne";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"6";"620";45,6123;0,1109
"LE HAILLAN";1;1;1;0;"Non";"ALLEE DES MUSARDISES";"33185";"LE HAILLAN";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";44,8792;-0,6807
"LES LILAS ";1;1;1;0;"Oui";"NC";"NC";"NC";"NC";"Ecoles";"Oui";"NC";"DEL";"NC";"NC";"NC";NA;NA
"LOOS EN GOHELLE";1;1;1;1;"Non";"29 place de la république";"62750";"loos en gohelle";"HAUTS-DE-FRANCE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"3";"170";50,4525;2,7816
